Type,Mentions,Date,Media,Sentiment,Influencer
rt, baca sejarah kenapa privatisasi bumn,12/1/2018 23:59,Twitter,-1,@wong_kito_ (wajah_syari)
rt, habib bahar enggan maaf presiden jokowi,12/1/2018 23:59,Twitter,-1,@aryadi_ringga (PAK RT 01 ÃƒÂ‚Ã‚Â®ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã‚Â„Ã‚Â¢ÃƒÂ¯Ã‚Â¸Ã‚Â)
rt, part,12/1/2018 23:59,Twitter,-1,@johnbralink (johntan)
mention, desa hebat indonesia kuat jokowimembangundesa tppikepahiang,12/1/2018 23:59,Twitter,-1,@rico_fajarrr (rico fajar)
rt, terima kasih proyek mangkrak kelar sesi presiden diganti,12/1/2018 23:59,Twitter,-1,@Fsilolongan (Roccuzzo)
rt, resmikan sesi tol bocimi keheranan mangkrak padahal pemandangan bagus,12/1/2018 23:59,Twitter,-1,@Fsilolongan (Roccuzzo)
rt, iwan fals ngaku netral jaman orba jokowi keliatan tergusur ngaku netral,12/1/2018 23:58,Twitter,-1,@tfq_firdaus (*Bintang Gerilya* #2019PrabowoPresiden)
rt, saudaraku,12/1/2018 23:58,Twitter,-1,@Regazzyx (REGAZ ÃƒÂ¢Ã‚ÂšÃ‚Â )
rt, jokowi resmikan tol bocimi mangkrak,12/1/2018 23:58,Twitter,-1,@hayualma (ÃƒÂ°Ã‚ÂÃ‚ÂÃ‚Â»ÃƒÂ°Ã‚ÂÃ‚Â’Ã‚Â¶ÃƒÂ°Ã‚ÂÃ‚Â“Ã‚ÂŽ!)
rt, iwan fals ngaku netral jaman orba jokowi keliatan tergusur ngaku netral,12/1/2018 23:58,Twitter,-1,@Ichwanzein (ÃƒÂ°Ã‚ÂŸÃ‚ÂˆÃ‚Â‚ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ¢Ã‚ÂšÃ‚Â… duc d'Cilincingston)
rt, bingkisan diembat topeng dicampakan,12/1/2018 23:58,Twitter,-1,@2Dibuka (Don Juan)
reply, analogi ganteng analoginya ngaruhnya saya mihak jokowi sudah putus arahh nampaknya,12/1/2018 23:58,Twitter,-1,@Oldy_sihombing (Stefanus oldy)
rt, tempe khot,12/1/2018 23:58,Twitter,-1,@lexxrin (Dua aja)
rt, saudaraku,12/1/2018 23:58,Twitter,-1,@MedanTownChinas (_MtC_)
rt, iwan fals ngaku netral jaman orba jokowi keliatan tergusur ngaku netral,12/1/2018 23:58,Twitter,-1,@Dedi_eR_PRAGA (#2019PrabowoSandi PRAGA)
rt, iwan sudah membaca peta politik kalau kalah netral,12/1/2018 23:58,Twitter,-1,@StalistS (Stalist Sj)
rt, maaf jokowi tidak diundang,12/1/2018 23:58,Twitter,-1,@widawardhiansya (BangkitlahNegriku)
reply, suka2 kamu deh bong,12/1/2018 23:57,Twitter,-1,@Istiana72247572 (AE22T)
mention, g20worldprolife,12/1/2018 23:57,Twitter,-1,@Mechococo (Mecho Coco)
rt, saudaraku,12/1/2018 23:57,Twitter,-1,@Fsilolongan (Roccuzzo)
rt, iwan fals ngaku netral jaman orba jokowi keliatan tergusur ngaku netral,12/1/2018 23:57,Twitter,-1,@nike_mayasari (nike mayasari)
mention, breaking yusril ihza mahendra dukungan jokowi,12/1/2018 23:56,Twitter,-1,@basit201 (Abd)
rt, ya allah merdu suara jokowi menyanyikan lagu jaenudin na ciro,12/1/2018 23:56,Twitter,-1,@mascoker90 (kabar2)
rt, saudaraku,12/1/2018 23:56,Twitter,-1,@Jelantik5 (Agung)
reply, pengenalan mencalon,12/1/2018 23:55,Twitter,-1,@DaniDaniChan18 (Chan)
reply, aneh,12/1/2018 23:55,Twitter,-1,@amiradi (jaripah)
rt, ya allah merdu suara jokowi menyanyikan lagu jaenudin na ciro,12/1/2018 23:55,Twitter,-1,@andrian_ok (andrian)
rt, ayo netizen polling pilih pilpres,12/1/2018 23:55,Twitter,-1,@xxx_gil (ogil)
rt, part,12/1/2018 23:54,Twitter,-1,@Ni_Made_Artini (Twins_7120)
mention, memimpin indonesia presiden jokowi menorehkan prestasi presiden,12/1/2018 23:54,Twitter,-1,@PemanaAsih (Asih Pemana)
rt, habib bahar enggan maaf presiden jokowi,12/1/2018 23:54,Twitter,-1,@almuhtadimd (MM Al Muhtadi MD)
