Type,Mentions,Date,Media,Influencer,Sentiment
rt, suasana pelatihan peningkatan kapasitas pendamping desa aceh grand nanggroe hotel,12/1/2018 23:58,Twitter,@NurAsmah1708 (Nur Asmah),pre-elastic
rt, jokowi best twitter,12/1/2018 23:56,Twitter,@CebongBajaHitam (jokowi is the best),pre-elastic
mention, jokowi best twitter,12/1/2018 23:55,Twitter,@AndiBeno13 (Abn Abs),pre-elastic
reply, kader demokrat smart untuk ahy sangat mudah memahami sikap sby tidak,12/1/2018 23:51,Twitter,@fahranianindit5 (fahrani anindita),pre-elastic
reply, kader demokrat smart untuk ahy sangat mudah memahami sikap sby tidak,12/1/2018 23:51,Twitter,@fikrialamsyahu3 (Fikrialamsyahuft),pre-elastic
mention, jokowi batal diundang reuni pdip top warta ekonomi,12/1/2018 23:50,Twitter,@WartaEkonomi (Warta Ekonomi),pre-elastic
mention, emang situ emang jokowi pengen hadir acara situ cermin rumah gede lol,12/1/2018 23:49,Twitter,@Ine_cappuccino (In Cappuccino),pre-elastic
reply, romahumuziy best jaya sehat jokowi,12/1/2018 23:47,Twitter,@neira_syafira (Neira Syafira),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:45,Twitter,@adelia_nove (#2019GantiPresiden_Adelia),pre-elastic
reply, they twisted his words he was innocent they only put him jail calm,12/1/2018 23:44,Twitter,@ariaadinata (Aria Adinata),pre-elastic
mention, hahahaha jokowi sibuk kerja om gausah repot2 ganggu pekerjaan beliau hadir,12/1/2018 23:43,Twitter,@BungaTidur__ (PengisiMimpi),pre-elastic
reply, hahaha gapapa afif btw gede ya,12/1/2018 23:40,Twitter,@nichosetyo (Nicho Dwisetyo),pre-elastic
reply, wajarlah kelompok pengangguran menang kelompok jokowi lagi sibuk kerja jadi tidak main poling2an,12/1/2018 23:36,Twitter,@isal_faisal1976 (menyon),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:33,Twitter,@ss17rlipu (AnnoguRlipuXVII),pre-elastic
rt, kebanyakan ngecap bener baik makan buah matoa super,12/1/2018 23:32,Twitter,@saya_AAL (A'Al),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:31,Twitter,@aimronfree (Jailangkung),pre-elastic
reply, jokowi senang rakyat smart,12/1/2018 23:31,Twitter,@DUMMGENXY (BASE),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:31,Twitter,@MiziYanto (Mizi Yanto),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:29,Twitter,@widawardhiansya (BangkitlahNegriku),pre-elastic
reply, pernyataan jokowi emang tidak salah beliau meresmikan pengoperasian bandara apt pranoto,12/1/2018 23:25,Twitter,@BimaSap09063036 (Bima Saputra),pre-elastic
mention, i liked video tanda tanda alam jokowi kalah pilpres wallohu alam bi sowab,12/1/2018 23:25,Twitter,@arifrahman230 (BANDAR Rongsokan),pre-elastic
reply, stay right track prof,12/1/2018 23:24,Twitter,@YoyokWaluyo56 (Yo2k wps...),pre-elastic
reply, ang ing eng ngobrolin ya kok keliatannya pda happy sangat,12/1/2018 23:21,Twitter,@VeraAndria1 (Vera Andria),pre-elastic
rt, kebanyakan ngecap bener baik makan buah matoa super,12/1/2018 23:20,Twitter,@DjanChoek (Djan Choek Koen),pre-elastic
reply, hahaha gemeteran berhasil jungkirin ahok jokowi pulang,12/1/2018 23:19,Twitter,@GoBlock125 (Goblock125),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:18,Twitter,@fakaubun_m (Rahayaan Shaleh),pre-elastic
rt, kebanyakan ngecap bener baik makan buah matoa super,12/1/2018 23:17,Twitter,@ManeKwaik (ZOOPJE),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:10,Twitter,@Harootoyo (#2019TetapAntiPKI),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:07,Twitter,@fatheema_zein (Intan Payong),pre-elastic
reply, romahumuziy best jaya sehat jokowi,12/1/2018 23:07,Twitter,@AnabelaSasya (Anabela Sasya),pre-elastic
mention, i liked video penghina jokowi anak konglomerat china sangat tajir,12/1/2018 23:05,Twitter,@arifrahman230 (BANDAR Rongsokan),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 23:05,Twitter,@ChoySantoso (Choy Santoso),pre-elastic
rt, top presiden,12/1/2018 23:05,Twitter,@B4NG_GUN (BANG GUN),pre-elastic
rt, jainudin ajiro hahaha mukiyo mukiyo,12/1/2018 22:59,Twitter,@Argentiana_ (Adelya Argentiana ÃÂ°ÃÂÃÂÃÂ),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:56,Twitter,@roby_wijadja (Roby #2019PrabowoSandi),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:56,Twitter,@Hardi_satriani (Hardi Muhammad Sood),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:54,Twitter,@Brigade_Diavolo (EL),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:54,Twitter,@jiha_yati (hayati_yati),pre-elastic
rt, main twitter tidak tertarik bahas pahami tidak dituduh pki deh,12/1/2018 22:53,Twitter,@AbaEmir (ÃÂ¢ÃÂÃÂÃÂ¯ÃÂ¸ÃÂÃÂ°ÃÂÃÂÃÂ±ÃÂ¢ÃÂÃÂÃÂ¯ÃÂ¸ÃÂ),pre-elastic
rt, super jokowi disebar pemungutan suara indonesia,12/1/2018 22:52,Twitter,@fauzi_gavin (fauzi gavin),pre-elastic
rt, perempuan tergabung gerakan super jokowi berasal latar,12/1/2018 22:51,Twitter,@fauzi_gavin (fauzi gavin),pre-elastic
rt, ketua super jokowi ida fauziah gerakan terbentuk memenangkan jokowi pilpres,12/1/2018 22:51,Twitter,@fauzi_gavin (fauzi gavin),pre-elastic
rt, tim lahir gerakan super jokowi perempuan,12/1/2018 22:51,Twitter,@fauzi_gavin (fauzi gavin),pre-elastic
reply, mba adel main ketrmpatku saya kir kalau mba adel nga reuni,12/1/2018 22:47,Twitter,@suarasenyap01 (www.#01.id.kerja),pre-elastic
rt, top presiden,12/1/2018 22:47,Twitter,@JOIN_Relawan (CINTA),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:47,Twitter,@Alex11579464 (Alex),pre-elastic
reply, case years his leadership he able export rice elected presiden ready,12/1/2018 22:44,Twitter,@fitrajayapilian (Rice Husk 4 Electric & Rice Industry Strengthening),pre-elastic
reply, rmec scheme makes thailand rice mill industries more efficient with specific energy consumption average,12/1/2018 22:44,Twitter,@fitrajayapilian (Rice Husk 4 Electric & Rice Industry Strengthening),pre-elastic
reply, indonesia new renewable energy development handicap,12/1/2018 22:44,Twitter,@fitrajayapilian (Rice Husk 4 Electric & Rice Industry Strengthening),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:42,Twitter,@ridho_w (Ridho),pre-elastic
mention, i liked video hina jokowi isi ceramah habib bahar bin smith,12/1/2018 22:41,Twitter,@tribuntimur (Tribun Timur),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:40,Twitter,@iphi3 (deVy 'iphie' 4215),pre-elastic
reply, kalau jagorawi gratis doain jokowi umur bisa fokus main,12/1/2018 22:33,Twitter,@novaladrian17 (noval adrian),pre-elastic
mention, i liked video habib bahar hina jokowi ujungnya sumbangan,12/1/2018 22:32,Twitter,@wionsaputra ( ÃÂ¢ÃÂÃÂ ),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:32,Twitter,@whysato2 (P' we),pre-elastic
reply, mantap presidenku bapak jokowi best,12/1/2018 22:29,Twitter,@firlyana12 (firlyana),pre-elastic
mention, seru skali lihat papa bersikeras lawan om karena milih jokowi haha,12/1/2018 22:28,Twitter,@Cindy_puput (Cindy Amelia),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:27,Twitter,@aditdemarco (aditya wibowo),pre-elastic
mention, i liked video hasil survei jokowi prabowo lihat baik baik video,12/1/2018 22:27,Twitter,@wajjah_kitta (Wajjah Kitta),pre-elastic
mention, suka video reaksi heboh lihat jokowi full jokowi tangerang mengunjungi pasar anyar,12/1/2018 22:26,Twitter,@sugengharuman2 (sugengharuman),pre-elastic
rt, action bohoong,12/1/2018 22:25,Twitter,@rajag_comunity (rajag comunity klp 2),pre-elastic
reply, analogi politikgenderuwo smart,12/1/2018 22:25,Twitter,@pangestu_afif (afif pangestu),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:25,Twitter,@Rion19764949 (Rion Ft),pre-elastic
reply, hahaha,12/1/2018 22:23,Twitter,@Irra20801360 (Irra),pre-elastic
reply, analogi politikgenderuwo smart,12/1/2018 22:21,Twitter,@Pandu_Irawan21 (Pandu Irawan),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:21,Twitter,@MoeisFirman (Firman Moeis),pre-elastic
mention, i liked video ciduq bahar bin smith hina topeng,12/1/2018 22:19,Twitter,@opicqjalal (Opicq Jalal),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:19,Twitter,@L__ryuzak1 (ryuzaki),pre-elastic
mention, super jokowi disebar pemungutan suara,12/1/2018 22:19,Twitter,@FaradinaKhaira (Khaira Faradina),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:18,Twitter,@ChebonkOke (#SIMSALABONG),pre-elastic
mention, perempuan tergabung gerakan super jokowi berasal latar,12/1/2018 22:18,Twitter,@FaradinaKhaira (Khaira Faradina),pre-elastic
mention, ketua super jokowi ida fauziah gerakan terbentuk memenangkan jokowi pilpres,12/1/2018 22:17,Twitter,@FaradinaKhaira (Khaira Faradina),pre-elastic
rt, action bohoong,12/1/2018 22:17,Twitter,@tohari_ikhsan (ikhsan_az-zahra),pre-elastic
mention, tim lahir gerakan super jokowi perempuan,12/1/2018 22:17,Twitter,@FaradinaKhaira (Khaira Faradina),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:13,Twitter,@AgoesAbas (Agoes Abas),pre-elastic
reply, bilang lgbt pendukung jokowi tidak sadis dari main fisik,12/1/2018 22:10,Twitter,@Bramant27214690 (Kuda impor),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:09,Twitter,@ivan_trinadi (Trinadi_ivan),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:08,Twitter,@uday_nin (Yudi Noermansyah),pre-elastic
mention, kebanyakan ngecap bener baik makan buah matoa super,12/1/2018 22:06,Twitter,@moan1974 (#Salutem In Christo #DeMoCL),pre-elastic
rt, prof yusril mengkritik jokowi garangnya main,12/1/2018 22:05,Twitter,@syuaibgoodman (syuaib_muhammad),pre-elastic
rt, legal formal ahok dipenjarakan proses peradilan politik dipenjarakan lemahnya jokowi,12/2/2018 23:59,Twitter,@PesonaBarbie (jangan rusak!),pre-elastic
rt, aduh rezim jokowi main tabok,12/2/2018 23:59,Twitter,@mundhofar (muhamad mundhofar),pre-elastic
mention, nice claim,12/2/2018 23:59,Twitter,@g3b_Peatruck (Angga_Prasetyo),pre-elastic
reply, good my presiden mr,12/2/2018 23:59,Twitter,@SayidinSH (IG Sazidin_Sh),pre-elastic
rt, all jokowers best,12/2/2018 23:58,Twitter,@ulysses_ferrel (ULYSSES FERREL #RI),pre-elastic
mention, jayapura top tangan dingin bangkit,12/2/2018 23:58,Twitter,@windi_rena (Windi Rena),pre-elastic
mention, jayapura top tangan dingin bangkit,12/2/2018 23:58,Twitter,@alfiapratiwi1 (Alfia Pratiwi),pre-elastic
rt, presiden jokowi komen kepada suka pdnya suka sekular jokowi sibuk main sakelar,12/2/2018 23:56,Twitter,@duta_kurniawan (Muslim Cyber Army),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:56,Twitter,@BowoBerdjibaku (Don Bosko),pre-elastic
reply, hahaha trus data valid hasil kerjanya,12/2/2018 23:55,Twitter,@gusdureen (MuslimKokTakutIslam),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:54,Twitter,@ReanitaP (Rea),pre-elastic
rt, all jokowers best,12/2/2018 23:54,Twitter,@stefan_ivanov_ (STEFAN IVANOV #RI),pre-elastic
rt, jokowi ngajari pengusaha kasih gratis untuk prominent figure,12/2/2018 23:54,Twitter,@f24nk1 (Franky M #1JKW1N),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:53,Twitter,@AngelinaElin (E L I N),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:52,Twitter,@chicko_chichi (Alexandria 30),pre-elastic
rt, presiden jokowi komen kepada suka pdnya suka sekular jokowi sibuk main sakelar,12/2/2018 23:52,Twitter,@refinsajalah (Fakir Ilmu),pre-elastic
mention, aduh rezim jokowi main tabok,12/2/2018 23:51,Twitter,@mpuanon (MpuAnon),pre-elastic
rt, car free day des,12/2/2018 23:51,Twitter,@andy_nomicin (NomicinÃÂ°ÃÂÃÂÃÂ®),pre-elastic
mention, jokowi main sepakbola bareng ronaldinho alex noerdin cup,12/2/2018 23:50,Twitter,@VherryNF (Vherry Nur Fajriani),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:50,Twitter,@MasWar25517040 (Mas War),pre-elastic
rt, thanks timses prabowo jokowi ngebuat pemilu tidak garing,12/2/2018 23:49,Twitter,@nurotulimaniah1 (Nurotul Imaniah),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:48,Twitter,@auliamedicaa (aulia medicarizky),pre-elastic
rt, car free day des,12/2/2018 23:48,Twitter,@liaaa_mg (Lia),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:47,Twitter,@Syamsurijaseng (Syamsuri jaseng),pre-elastic
rt, dec then called about more than million muslims protested,12/2/2018 23:46,Twitter,@Rahman95367950 (scylla serrata),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:44,Twitter,@putri_eight8 (putri nengsih),pre-elastic
reply, gaberner dki emg top top retorikanya,12/2/2018 23:43,Twitter,@Arielmaranoes1 (RockNRollan#01),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:43,Twitter,@hsnbnfsj (Min.),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:42,Twitter,@chaekptr (Annisa Ekaputri),pre-elastic
reply, hahahaha yaa bangga pacarku duta wisata sukabumi,12/2/2018 23:42,Twitter,@medagustinna (Meda Agustinna),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:42,Twitter,@Lucia82334401 (Lucia),pre-elastic
reply, sunrisenya top,12/2/2018 23:41,Twitter,@mandaillahi (manda),pre-elastic
mention, i liked video jokowi ulama,12/2/2018 23:40,Twitter,@masmerdi (Merdi Iskandar),pre-elastic
reply, hahahaha kelakuan seperti maling saja ah,12/2/2018 23:38,Twitter,@dedenlazuardi (Deden Lazuardi),pre-elastic
reply, iya kampanye hahahaha ngasih kerjaan untuk,12/2/2018 23:36,Twitter,@sagaword (Saga Untuk Nomor Dua ÃÂ¢ÃÂÃÂÃÂ¯ÃÂ¸ÃÂ),pre-elastic
reply, hasil pencapaian sby jokowi fair menjabat,12/2/2018 23:36,Twitter,@shakilafatimah5 (Shakila Fatimah),pre-elastic
rt, wajah kawasan gelanggang olahraga karno modern indah nyaman ruang warga,12/2/2018 23:35,Twitter,@shohibkaromi (ANU MU.),pre-elastic
