Type,Mentions,Date,Media,Influencer,Sentiment
rt,RT @TaufikH84120395: Suasana pelatihan peningkatan kapasitas pendamping desa se Aceh di Grand Nanggroe Hotel ,12/1/2018 23:58,Twitter,@NurAsmah1708 (Nur Asmah),nonpre-elastic
rt,RT @AndiBeno13: jokowi is the best on Twitter https://t.co/sQWSQEbpS7,12/1/2018 23:56,Twitter,@CebongBajaHitam (jokowi is the best),nonpre-elastic
mention,jokowi is the best on Twitter https://t.co/sQWSQEbpS7,12/1/2018 23:55,Twitter,@AndiBeno13 (Abn Abs),nonpre-elastic
reply,"@SBYudhoyono @jokowi Kalau kader demokrat smart utk masa depan AHY, tentu sangat mudah memahami sikap SBY yg tdk akÃ¢ÂÂ¦ https://t.co/zWzgcUasmk",12/1/2018 23:51,Twitter,@fahranianindit5 (fahrani anindita),nonpre-elastic
reply,"@SBYudhoyono @jokowi Kalau kader demokrat smart utk masa depan AHY, tentu sangat mudah memahami sikap SBY yg tdk akÃ¢ÂÂ¦ https://t.co/qBjQwmy0J6",12/1/2018 23:51,Twitter,@fikrialamsyahu3 (Fikrialamsyahuft),nonpre-elastic
mention,"Jokowi Batal Diundang di Reuni 212, Jawaban PDIP 'Top' - Warta Ekonomi https://t.co/K0AyaPDHry",12/1/2018 23:50,Twitter,@WartaEkonomi (Warta Ekonomi),nonpre-elastic
mention,Emang situ sape...wkwkw emang Jokowi pengen hadir di acara situ?  Cermin di rumah kurang gede ya: LoL #212reuniÃ¢ÂÂ¦ https://t.co/bshUGwohSc,12/1/2018 23:49,Twitter,@Ine_cappuccino (In Cappuccino),nonpre-elastic
reply,"@MRomahurmuziy @jokowi pak romahumuziy is the best lah, tetap jaya selalu sehat selalu pak, untuk pak jokowi juga.Ã¢ÂÂ¦ https://t.co/UAnDfJcdiX",12/1/2018 23:47,Twitter,@neira_syafira (Neira Syafira),nonpre-elastic
rt,RT @Maulana_Tigor: Dulu Prof Yusril mengKritik Jokowi Garangnya bukan main.,12/1/2018 23:45,Twitter,@adelia_nove (#2019GantiPresiden_Adelia),nonpre-elastic
reply,@polikitik @yusuf_dumdum @jokowi They twisted his words and he was innocent. They only put him in jail to calm theÃ¢ÂÂ¦ https://t.co/fOiyc3HYiC,12/1/2018 23:44,Twitter,@ariaadinata (Aria Adinata),nonpre-elastic
